StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q5,Q6,Q7,8B,9B,10B,11B,12B,13B,14B,15B,16B,17B,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"Thank you for participating in this survey - we greatly appreciate it! The survey should take less than 10 minutes to complete. 



The first series of questions are solely for data analysis purposes. We will not collect any personally identifiable information and the survey is completely anonymous.





Which gender do you identify with?",Are you a registered voter?,What is your age group?,What is your politicial affiliation?,What is your highest level of education?,What ethnicity do you identify as?,Do you consider yourself to be active on social media platforms?,"Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media. 



 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media. 









 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?",Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?
7/17/20 18:52,7/17/20 18:59,IP Address,73.93.90.157,100,399,True,7/17/20 18:59,R_u8Geu0CykTxNh6h,,,,,37.77709961,-122.4059982,anonymous,EN,0.9,Female,Yes,21-40,Democrat,Graduate degree,Asian,Yes,,,,,,,,,,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No
7/17/20 19:46,7/17/20 19:48,IP Address,98.234.117.52,100,147,True,7/17/20 19:48,R_2EgXOU7K2nTlgqG,,,,,36.5802002,-121.8442993,anonymous,EN,0.9,Female,Yes,21-40,Other,Graduate degree,Caucasian,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,,,,,,,,,,
7/17/20 19:48,7/17/20 19:59,IP Address,71.244.172.196,100,666,True,7/17/20 19:59,R_1NgJqwlFgUpLjT1,,,,,39.12690735,-76.69799805,anonymous,EN,0.9,Female,Yes,21-40,,College degree,Caucasian,No,,,,,,,,,,,Yes,Yes,No,Yes,No,No,No,Yes,No,No
7/17/20 20:01,7/17/20 20:04,IP Address,173.67.9.152,100,185,True,7/17/20 20:04,R_33woiiDhvnhBZZR,,,,,39.12690735,-76.69799805,anonymous,EN,0.9,Female,Yes,21-40,Democrat,College degree,Hispanic / Latinx,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,
7/17/20 19:58,7/17/20 20:13,IP Address,174.195.207.41,100,876,True,7/17/20 20:13,R_3nAiDFypCLOOxYV,,,,,33.87890625,-117.5353012,anonymous,EN,0.9,Female,Yes,21-40,Other,College degree,Caucasian,Yes,,,,,,,,,,,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No
7/17/20 20:08,7/17/20 20:17,IP Address,67.188.128.89,100,578,True,7/17/20 20:18,R_3QXbtPAqPrxpNRD,,,,,36.68080139,-121.6164017,anonymous,EN,0.9,Male,Yes,61+,Republican,Graduate degree,Caucasian,No,,,,,,,,,,,No,Yes,No,Yes,No,No,No,No,No,No
7/17/20 20:04,7/17/20 20:27,IP Address,73.133.184.79,100,1390,True,7/17/20 20:27,R_1ocBwl8FtVc20Km,,,,,39.26449585,-76.62239838,anonymous,EN,0.7,Male,Yes,21-40,Democrat,Some college,Hispanic / Latinx,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,
7/17/20 20:31,7/17/20 20:34,IP Address,73.133.161.221,100,175,True,7/17/20 20:34,R_YQcgBAbnCHRBqy5,,,,,39.21240234,-76.87760162,anonymous,EN,0.9,Male,Yes,21-40,Republican,Some college,Caucasian,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,,,,,,,,,,
7/17/20 20:44,7/17/20 20:48,IP Address,71.244.172.196,100,254,True,7/17/20 20:48,R_2vjgdJ9ggRVQ4gw,,,,,39.12690735,-76.69799805,anonymous,EN,0.9,Male,Yes,21-40,Democrat,College degree,Caucasian,No,,,,,,,,,,,Yes,No,No,Yes,Yes,No,Yes,No,No,No
